|6.6.6
dunite_hpha02_1.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  50006.7        856.566        3380.60        8.51210        4.85822     
  51521.7        856.566        3384.44        8.52414        4.86304     
  53036.8        856.566        3388.28        8.53616        4.86786     
  54551.8        856.566        3392.09        8.54813        4.87263     
  56066.9        856.566        3395.89        8.56007        4.87741     
  57581.9        856.566        3399.68        8.57199        4.88219     
  59097.0        856.566        3403.45        8.58387        4.88695     
  60612.0        856.566        3407.21        8.59572        4.89172     
  62127.1        856.566        3410.97        8.60756        4.89649     
  63642.1        856.566        3414.70        8.61936        4.90125     
  65157.2        856.566        3418.43        8.63113        4.90600     
  66672.2        856.566        3422.16        8.64279        4.91070     
  68187.3        856.566        3425.86        8.65451        4.91545     
  69702.3        856.566        3429.55        8.66619        4.92018     
  71217.4        856.566        3433.23        8.67784        4.92489     
  72732.4        856.566        3436.89        8.68947        4.92961     
  74247.5        856.566        3440.54        8.70108        4.93432     
  75762.5        856.566        3444.18        8.71265        4.93902     
  77277.6        856.566        3447.81        8.72420        4.94372     
  78792.6        856.566        3451.43        8.73571        4.94841     
  80307.7        856.566        3455.04        8.74722        4.95311     
  81822.7        856.566        3458.62        8.75862        4.95769     
  83337.8        856.566        3462.21        8.77010        4.96243     
  84852.8        856.566        3465.79        8.78155        4.96713     
  86367.9        856.566        3469.35        8.79293        4.97178     
  87882.9        856.566        3472.90        8.80429        4.97642     
  89398.0        856.566        3476.44        8.81562        4.98106     
  90913.0        856.566        3479.97        8.82692        4.98569     
  92428.1        856.566        3483.49        8.83821        4.99033     
  93943.1        856.566        3486.99        8.84946        4.99496     
  95458.2        856.566        3490.49        8.86070        4.99958     
  96973.2        856.566        3493.97        8.87189        5.00415     
  98488.3        856.566        3497.45        8.88308        5.00879     
  100003.        856.566        3500.92        8.89424        5.01339     
  101518.        856.566        3504.37        8.90537        5.01799     
  103033.        856.566        3507.82        8.91648        5.02258     
  104548.        856.566        3511.25        8.92757        5.02717     
  106064.        856.566        3514.68        8.93863        5.03174     
  107579.        856.566        3518.09        8.94968        5.03631     
  109094.        856.566        3521.50        8.96069        5.04087     
  110609.        856.566        3524.89        8.97168        5.04543     
  112124.        856.566        3528.28        8.98267        5.05000     
  113639.        856.566        3531.65        8.99361        5.05455     
  115154.        856.566        3535.02        9.00451        5.05907     
  116669.        856.566        3538.38        9.01544        5.06363     
  118184.        856.566        3541.72        9.02632        5.06817     
  119699.        856.566        3545.06        9.03716        5.07268     
  121214.        856.566        3548.38        9.04800        5.07719     
  122729.        856.566        3551.70        9.05880        5.08170     
  124244.        856.566        3555.01        9.06960        5.08622     
  125759.        856.566        3558.31        9.08034        5.09069     
  127274.        856.566        3561.60        9.09109        5.09519     
  128789.        856.566        3564.88        9.10180        5.09966     
  130304.        856.566        3568.15        9.11251        5.10415     
  131819.        856.566        3571.42        9.12318        5.10862     
  133334.        856.566        3574.67        9.13384        5.11310     
  134849.        856.566        3577.92        9.14449        5.11758     
  136365.        856.566        3581.15        9.15508        5.12201     
  137880.        856.566        3584.38        9.16570        5.12649     
  139395.        856.566        3606.25        9.22607        5.17899     
  140910.        856.566        3609.43        9.23611        5.18340     
  142425.        856.566        3612.61        9.24615        5.18783     
  143940.        856.566        3615.78        9.25614        5.19220     
  145455.        856.566        3618.94        9.26617        5.19663     
  146970.        856.566        3622.10        9.27613        5.20100     
  148485.        856.566        3625.24        9.28610        5.20539     
  150000.        856.566        3628.38        9.29603        5.20977     
  10.0000        870.707        3233.27        8.05285        4.66332     
  1525.05        870.707        3237.72        8.06581        4.66973     
  3040.10        870.707        3242.30        8.08031        4.67595     
  4555.15        870.707        3246.91        8.09489        4.68224     
  6070.20        870.707        3251.42        8.10914        4.68828     
  7585.25        870.707        3255.96        8.12345        4.69438     
  9100.30        870.707        3260.44        8.13758        4.70037     
  10615.4        870.707        3264.94        8.15171        4.70637     
  12130.4        870.707        3277.16        8.19158        4.72971     
  13645.5        870.707        3281.38        8.20451        4.73469     
  15160.5        870.707        3285.58        8.21743        4.73967     
  16675.6        870.707        3289.77        8.23029        4.74463     
  18190.6        870.707        3294.23        8.24399        4.75000     
  19705.7        870.707        3298.47        8.25692        4.75506     
  21220.7        870.707        3302.79        8.26995        4.76018     
